Dates,Total_Cases,Daily_Cases,Daily_Cases_Change,Total_Losses,Daily_Losses,Intubated,Out_IC_Total,Out_IC_Daily,Daily_Admissions,Active_Cases,Total_Recovered,Total_RTPCR_tests,Daily_RTPCR_tests,Total_RAPID_AG_tests,Daily_RAPID_AG_tests,Total_Tests,Daily_Tests,Positivity_Rate,Total_Self_Tests,Total_Self_Tests_Recheck,Total_Positive_Self_Tests
07/08/21,512342,2768,0.5,13058,10,198,2838.0,2.0,209.0,32863,466421,5897544,14731,7541082,84195,13438626,98926,2.8,31017609.0,907514.0,67389.0
08/08/21,514192,1852,0.4,13075,17,204,2842.0,4.0,209.0,34698,466419,5905486,7942,7595267,54185,13500753,62127,2.98,31060935.0,916479.0,67389.0
09/08/21,516785,2595,0.5,13097,20,207,2842.0,0.0,212.0,37273,466415,5911547,6061,7633981,38714,13545528,44775,5.8,31077150.0,919703.0,67389.0
10/08/21,521399,4181,0.9,13118,19,219,2848.0,6.0,211.0,22254,486027,5929425,17878,7718378,84397,13647803,102275,4.09,31247841.0,930795.0,67389.0
11/08/21,524871,3475,0.7,13138,19,226,2854.0,6.0,246.0,25710,486023,5943256,13831,7792616,74238,13735872,88069,3.95,31357757.0,941447.0,73465.0
12/08/21,528474,3605,0.7,13158,20,240,2863.0,9.0,200.0,29295,486021,5956225,12969,7881308,88692,13837533,101661,3.55,31364109.0,960360.0,73465.0
13/08/21,531967,3493,0.7,13182,24,235,2868.0,5.0,255.0,32764,486021,5969345,13120,7985880,104572,13955225,117692,2.97,31470007.0,984167.0,73465.0
14/08/21,535237,3270,0.6,13206,24,236,2873.0,5.0,285.0,36010,486021,5983197,13852,8070641,84761,14053838,98613,3.32,31506060.0,998772.0,73465.0
15/08/21,537125,1888,0.4,13223,17,241,2877.0,4.0,211.0,37881,486021,5990781,7584,8122329,51688,14113110,59272,3.19,31530684.0,1004543.0,73465.0
16/08/21,539337,2218,0.4,13237,13,250,2882.0,5.0,224.0,40086,486014,5996157,5376,8155270,32941,14151427,38317,5.79,31560341.0,1006487.0,73465.0
17/08/21,543749,4206,0.8,13253,16,258,2885.0,3.0,218.0,44276,486220,6016061,19904,8241505,86235,14257566,106139,3.96,31703151.0,1013968.0,73465.0
18/08/21,547186,3442,0.6,13278,25,282,2889.0,4.0,290.0,47693,486215,6032075,16014,8317390,75885,14349465,91899,3.75,31868209.0,1023779.0,79685.0
19/08/21,550459,3273,0.6,13298,20,286,2896.0,7.0,276.0,24044,513117,6047250,15175,8404513,87123,14451763,102298,3.2,31932277.0,1040959.0,79685.0
20/08/21,554055,3625,0.7,13328,30,296,2904.0,8.0,267.0,27639,513088,6062781,15531,8505830,101317,14568611,116848,3.1,31969789.0,1062707.0,79685.0
21/08/21,557239,3191,0.6,13351,23,317,2913.0,9.0,280.0,30807,513081,6077788,15007,8589994,84164,14667782,99171,3.22,32002011.0,1074320.0,79685.0
22/08/21,559186,1948,0.3,13384,33,318,2917.0,4.0,229.0,32722,513080,6086532,8744,8643668,53674,14730200,62418,3.12,32025185.0,1079515.0,79685.0
23/08/21,561812,2628,0.5,13422,34,319,2916.0,-1.0,267.0,35316,513074,6092824,6292,8684711,41043,14777535,47335,5.55,32056673.0,1081802.0,79685.0
24/08/21,566812,4608,0.9,13466,32,326,2926.0,10.0,293.0,24919,528427,6116691,23867,8782725,98014,14899416,121881,3.78,32226429.0,1091438.0,79685.0
25/08/21,570077,3273,0.6,13509,42,332,2936.0,10.0,259.0,28150,528418,6133835,17144,8859569,76844,14993404,93988,3.48,32403281.0,1094215.0,85424.0
26/08/21,573605,3538,0.6,13539,28,336,2943.0,7.0,265.0,31660,528406,6149874,16039,8946790,87221,15096664,103260,3.43,32465414.0,1099570.0,85424.0
27/08/21,576672,3076,0.5,13561,22,337,2951.0,8.0,248.0,34714,528397,6165070,15196,9044523,97733,15209593,112929,2.72,32499477.0,1107997.0,85424.0
